param,name,side
p_148757_1_,value,2
p_148833_1_,handler,2
p_148837_1_,buf,2
p_148840_1_,buf,2
p_149065_1_,worldIn,0
p_149102_1_,isFlying,2
p_149104_1_,flySpeedIn,2
p_149108_1_,isInvulnerable,2
p_149109_1_,isAllowFlying,2
p_149110_1_,walkSpeedIn,2
p_149111_1_,isCreativeMode,2
p_149161_1_,worldIn,0
p_149299_1_,key,2
p_149300_1_,key,2
p_149381_1_,worldIn,0
p_149483_1_,isFlying,2
p_149485_1_,flySpeedIn,2
p_149490_1_,isInvulnerable,2
p_149491_1_,isAllowFlying,2
p_149492_1_,walkSpeedIn,2
p_149493_1_,isCreativeMode,2
p_149564_1_,worldIn,2
p_149634_0_,itemIn,2
p_149645_1_,state,2
p_149653_1_,state,2
p_149656_1_,state,2
p_149659_1_,explosionIn,2
p_149666_1_,group,2
p_149666_2_,items,2
p_149688_1_,state,2
p_149738_1_,worldIn,2
p_149740_1_,state,2
p_149744_1_,state,2
p_149750_1_,state,2
p_149829_1_,fallingEntity,2
p_149939_0_,coords,2
p_149940_1_,stack,2
p_150209_1_,event,2
p_150217_1_,italic,2
p_150221_1_,parent,2
p_150225_1_,strikethrough,2
p_150227_1_,boldIn,2
p_150228_1_,underlined,2
p_150237_1_,obfuscated,2
p_150238_1_,color,2
p_150241_1_,event,2
p_150255_1_,style,2
p_150257_1_,component,2
p_150258_1_,text,2
p_150269_1_,format,2
p_150272_1_,index,2
p_150295_1_,key,2
p_150295_2_,type,2
p_150297_1_,key,2
p_150297_2_,type,2
p_150298_0_,name,2
p_150298_1_,data,2
p_150298_2_,output,2
p_150299_1_,key,2
p_150305_1_,i,2
p_150306_1_,i,2
p_150307_1_,i,2
p_150308_1_,i,2
p_150309_1_,i,2
p_150502_1_,buf,2
p_150503_1_,ctx,2
p_150503_2_,buffer,2
p_150504_1_,in,2
p_150504_2_,out,2
p_150663_0_,tag,2
p_150663_1_,output,2
p_150672_0_,canonicalNameIn,2
p_150684_0_,canonicalNameIn,2
p_150695_1_,style,2
p_150695_2_,object,2
p_150695_3_,ctx,2
p_150696_0_,component,2
p_150699_0_,json,2
p_150718_1_,message,2
p_150719_1_,handler,2
p_150722_0_,address,0
p_150723_1_,newState,2
p_150727_1_,key,2
p_150732_1_,inPacket,2
p_150732_2_,futureListeners,2
p_150752_0_,packetIn,2
p_150760_0_,stateId,2
p_150786_1_,nbt,2
p_150787_1_,input,2
p_150788_1_,stack,2
p_150789_1_,maxLength,2
p_150790_0_,input,2
p_150813_1_,tileEntityIn,2
p_150871_1_,player,2
p_150871_2_,stat,2
p_150871_3_,amount,2
p_150873_1_,playerIn,2
p_150873_2_,statIn,2
p_150876_1_,player,2
p_150891_0_,itemIn,2
p_150893_1_,stack,2
p_150893_2_,state,2
p_150895_1_,group,2
p_150895_2_,items,2
p_150897_1_,blockIn,2
p_150898_0_,blockIn,2
p_150899_0_,id,2
p_150910_1_,emptyBuckets,2
p_150910_2_,player,2
p_150910_3_,fullBucket,2
p_150911_1_,stack,2
p_150911_2_,worldIn,2
p_150911_3_,player,2
p_150930_0_,nbt,2
p_150997_1_,blockIn,2
p_150998_1_,blockIn,2
p_151200_0_,json,2
p_151200_1_,memberName,2
p_151201_0_,json,2
p_151201_1_,memberName,2
p_151202_0_,json,2
p_151202_1_,memberName,2
p_151203_0_,json,2
p_151203_1_,memberName,2
p_151204_0_,json,2
p_151204_1_,memberName,2
p_151205_0_,json,2
p_151205_1_,memberName,2
p_151206_0_,json,2
p_151206_1_,memberName,2
p_151207_0_,json,2
p_151207_1_,memberName,2
p_151208_0_,json,2
p_151208_1_,memberName,2
p_151208_2_,fallback,2
p_151209_0_,json,2
p_151209_1_,memberName,2
p_151209_2_,fallback,2
p_151210_0_,json,2
p_151210_1_,memberName,2
p_151211_0_,json,0
p_151212_0_,json,2
p_151212_1_,memberName,2
p_151213_0_,json,2
p_151213_1_,memberName,2
p_151213_2_,fallback,2
p_151214_0_,json,2
p_151214_1_,memberName,2
p_151215_0_,json,2
p_151215_1_,memberName,2
p_151216_0_,json,2
p_151216_1_,memberName,2
p_151217_0_,json,2
p_151217_1_,memberName,2
p_151218_0_,json,2
p_151218_1_,memberName,2
p_151218_2_,fallback,2
p_151219_0_,json,2
p_151219_1_,memberName,2
p_151219_2_,fallback,2
p_151220_0_,json,2
p_151220_1_,memberName,2
p_151221_0_,json,2
p_151221_1_,memberName,2
